Name,Kills,Assists,Damage,Max Kill Distance,Damage Taken,Headshots,Survival Time,Drive Distance,March Distance,Kills By Grenade,Time Outside Zone,Knockouts
Unknown Player,3,4,809,162,283,2,1587,4173,2201,0,0,4
Unknown Player,4,3,346,93,87,0,1557,4541,1943,0,0,3
Unknown Player,5,3,680,125,96,0,1588,3929,1799,0,0,3
Unknown Player,3,2,648,160,339,1,1578,4949,2917,0,0,3
Unknown Player,0,0,187,0,133,0,1413,3796,2710,0,12.685539245605469,1
Unknown Player,0,0,164,0,137,0,1413,2933,2855,0,13.798299789428711,1
Unknown Player,0,0,0,0,75,0,380,1633,1038,0,0,0
Unknown Player,0,0,0,0,63,0,378,1628,1091,0,0,1
Unknown Player,1,0,12,5,143,0,1202,4964,2458,0,0,0
Unknown Player,1,3,502,34,279,0,1006,4772,1813,0,0,4
Unknown Player,0,0,75,0,242,0,799,4683,1822,0,0,1
Unknown Player,0,0,0,0,173,0,792,4794,1970,0,0,0
Unknown Player,0,0,102,0,207,0,1526,6221,3260,0,10.607549667358398,1
Unknown Player,0,0,155,0,168,0,1547,5860,3430,0,10.22619915008545,0
Unknown Player,0,0,0,0,170,0,1543,6276,2990,0,15.556812286376953,0
Unknown Player,0,0,0,0,164,0,1545,5913,2998,0,1.5577259063720703,0
Unknown Player,0,0,406,0,229,0,1385,4481,3193,0,0,2
Unknown Player,1,1,271,265,210,0,1360,3733,2598,0,0,1
Unknown Player,2,0,152,23,251,0,1356,4446,2314,0,0,1
Unknown Player,1,1,103,263,256,0,1338,3953,2677,0,0,1
Unknown Player,2,0,246,45,100,1,865,5295,1665,0,0,2
Unknown Player,0,0,70,0,262,0,836,5485,1502,0,0,0
Unknown Player,0,1,210,0,387,0,844,4727,1929,0,0,0
Unknown Player,0,0,0,0,209,0,776,5538,1665,0,0,0
Unknown Player,1,0,194,29,161,0,1451,2432,2569,0,75.61561584472656,1
Unknown Player,0,0,0,0,177,0,295,0,577,0,0,0
Unknown Player,0,0,76,0,197,0,290,0,695,0,0,0
Unknown Player,0,0,0,0,231,0,264,0,577,0,0,0
Unknown Player,0,0,96,0,100,0,1030,5795,2255,0,0,0
Unknown Player,0,0,74,0,163,0,1042,5145,1709,0,0,0
Unknown Player,0,0,121,0,172,0,1039,6632,2043,0,0,2
Unknown Player,0,0,142,0,143,0,1045,6086,2300,0,0,2
Unknown Player,2,0,465,94,156,1,596,2739,972,0,0,3
Unknown Player,0,0,32,0,152,0,558,2645,1312,0,0,0
Unknown Player,1,0,143,34,165,0,531,2537,1164,1,0,0
Unknown Player,0,1,25,0,194,0,535,4176,996,0,0,0
Unknown Player,0,1,119,0,41,0,1413,3391,3073,0,51.574642181396484,0
Unknown Player,0,0,76,0,181,0,488,2934,1327,0,0,1
Unknown Player,0,0,89,0,195,0,474,2380,1383,0,0,1
Unknown Player,0,0,0,0,158,0,481,3449,1209,0,0,0
Unknown Player,1,0,84,14,132,0,454,617,1064,1,0,1
Unknown Player,1,1,130,26,146,0,444,0,1810,0,0,0
Unknown Player,0,0,147,0,191,0,137,0,345,0,0,2
Unknown Player,0,0,54,0,196,0,125,0,267,0,0,0
Unknown Player,1,2,367,172,132,0,1522,4872,3627,0,16.16741371154785,2
Unknown Player,2,4,625,260,362,0,1529,4226,3576,0,15.163679122924805,1
Unknown Player,0,0,84,0,231,0,1527,4781,3301,0,16.16741371154785,0
Unknown Player,3,0,529,218,137,0,1522,3414,4004,0,8.906231880187988,4
Unknown Player,2,1,362,7,222,1,921,1679,2770,0,0,2
Unknown Player,2,1,465,49,315,0,921,1537,2415,0,0,2
Unknown Player,4,2,529,244,273,1,828,2132,1867,0,0,4
Unknown Player,2,2,336,191,274,1,587,1234,1219,0,0,2
Unknown Player,0,1,492,0,223,0,1250,4526,2535,0,0,1
Unknown Player,2,0,183,241,100,1,1239,3792,2182,0,26.30339813232422,0
Unknown Player,0,0,190,0,182,0,1238,5481,1748,0,20.50408935546875,1
Unknown Player,0,0,0,0,157,0,43,0,80,0,0,0
Unknown Player,1,1,283,22,189,0,1485,5758,2353,0,23.590044021606445,1
Unknown Player,0,0,77,0,349,0,1468,5983,2550,0,3.4933671951293945,1
Unknown Player,1,0,325,14,405,1,1467,7337,2605,0,13.498699188232422,0
Unknown Player,1,0,303,13,100,0,1380,4683,2393,0,46.565879821777344,1
Unknown Player,1,1,156,255,377,0,1572,5073,3365,0,1.223881721496582,1
Unknown Player,2,4,346,144,322,0,1526,5183,2408,1,0.6119548082351685,1
Unknown Player,1,1,248,235,534,0,1537,4846,3132,0,8.714808464050293,1
Unknown Player,0,1,185,0,485,0,1534,4774,2869,0,1.1126946210861206,0
